año,mes,dia,Pais,mar,horario,OperadOR,ac_type,registration,summary,all_aboard,cantidad de fallecidos,ground,total_muertes,Marca,Registracion
1909,September,Tuesday,France,terrestre,Sin Dato,Sin Dato,Wright Byplane,SC1,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.",1,1,0,1,Wright,Con Registracion
1913,August,Wednesday,Canada,terrestre,Sin Dato,Private,Curtiss seaplane,Sin Dato,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",1,1,0,1,Curtiss,Sin Registracion
1917,June,Sunday,UK,terrestre,Sin Dato,Sin Dato,Zepplin L-48 (air ship),L-48,Shot down by aircraft.,16,14,0,14,Zepplin,Con Registracion
1918,December,Monday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,97,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,1,1,0,1,De,Con Registracion
1919,May,Sunday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,61,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,1,1,0,1,De,Con Registracion
1919,July,Saturday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,82,The mail plane crashed under unknown circumstances.,1,1,0,1,De,Con Registracion
1919,July,Monday,United States,terrestre,Diurno,Wingfoot Air Express Goodyear Tire,FD Type Dirigible,Sin Dato,"The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed",3,3,10,13,FD,Sin Registracion
1919,August,Saturday,Italy,terrestre,Sin Dato,Caproni Company,Caproni Ca.48,Sin Dato,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,14,14,0,14,Caproni,Sin Registracion
1919,October,Thursday,UK,terrestre,Sin Dato,Aircraft Transport and Travel,De Havilland DH-4,Sin Dato,Sin Dato,1,1,0,1,De,Sin Registracion
1919,October,Tuesday,United States,terrestre,Sin Dato,US Aerial Mail Service,Curtiss R-4LM,32,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.",1,1,0,1,Curtiss,Con Registracion
1919,October,Monday,Kent,terrestre,Sin Dato,Aircraft Transport and Travel,De Havilland DH-4,G-EAHG,Crashed into the sea while attempting to land in fog.,1,0,0,0,De,Con Registracion
1919,October,Thursday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH.4,77,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.",1,1,0,1,De,Con Registracion
